Contig45645_RC,NA
Contig44916_RC,NA
D25272,NA
J00129,FGB
Contig29982_RC,NA
Contig26811,NA
D25274,RAC1
Contig36292,NA
Contig42854,NA
Contig34839,NA
Contig8376_RC,NA
Contig42014_RC,NA
D49958,GPM6A
Contig25622_RC,NA
Contig13475_RC,NA
Contig40179_RC,NA
Contig27915_RC,NA
Contig44682_RC,NA
Contig35934_RC,NA
Contig29373_RC,NA
AF155648,LOC55818
Contig46975_RC,NA
AJ236885,ZNF148
Contig42867,NA
Contig25013_RC,NA
Contig20156_RC,NA
S78203,SLC15A2
Contig8977_RC,NA
Contig50634_RC,NA
Contig28035_RC,NA
Contig42615_RC,NA
AF155650,LOC55819
Contig31197_RC,NA
AF155652,DKFZP434L1021
Contig19662_RC,NA
AF155654,NA
Contig46366_RC,NA
Contig47095_RC,NA
Contig55949_RC,NA
Contig56678_RC,NA
Contig48659_RC,FLJ10747
Contig49388_RC,NA
Contig34851,NA
Contig26832,NA
Contig1970_RC,NA
AF026004,CLCN2
Contig42006_RC,NA
Contig732_RC,NA
Contig26343_RC,NA
Contig34362_RC,NA
Contig40923_RC,NA
Contig53047_RC,TTYH1
Contig12738_RC,NA
Contig56821_RC,F17127_1
Contig35926_RC,NA
Contig43945_RC,NA
Contig23779_RC,NA
Contig49_RC,NA
Contig19551,NA
Contig27572,NA
Contig35692_RC,NA
Contig14797_RC,NA
Contig21020_RC,NA
Contig42893,NA
AI282511_RC,NA
Contig10437_RC,NA
Contig47230_RC,NA
Contig46501_RC,NA
Contig25606_RC,NA
Contig20749_RC,NA
Contig21478_RC,NA
AL157500,NA
AL157502,NA
AL157503,NA
Contig36647_RC,NA
Contig37376_RC,NA
Contig45395_RC,NA
X98307,HSHUR7SEQ
AL157504,NA
AL157505,NA
Contig2082_RC,FLJ22056
D31885,ARL6IP
D31886,RAB3GAP
D31887,KIAA0062
AB033006,KIAA1180
AB033007,KIAA1181
Contig34885,NA
AB033009,KIAA1183
AF025304,EPHB2
Contig40681_RC,NA
Contig44057_RC,NA
Contig50993_RC,NA
Contig26936_RC,NA
AB033011,KIAA1185
AB033015,KIAA1189
AB033016,NA
AB033017,KIAA1191
AB033019,KIAA1193
M83822,CDC4L
Contig10429_RC,NA
Contig47222_RC,NA
Contig58263_RC,NA
Contig33992_RC,NA
Contig37368_RC,NA
Contig29349_RC,NA
Contig49890_RC,NA
AB033022,KIAA1196
AB033024,KIAA1198
AB033025,KIAA1199
AB033026,KIAA1200
AB025008,TSA1902
AB033027,KIAA1201
AB033028,KIAA1202
AB033029,KIAA1203
AF114263,NA
AF114264,NA
Contig64215_RC,NA
Contig40673_RC,NA
Contig17345_RC,NA
Contig51339_RC,NA
Contig49281_RC,NA
Contig48552_RC,NA
Contig16991_RC,NA
Contig34947_RC,NA
Contig43695_RC,NA
AB033030,KIAA1204
Contig1946_RC,NA
AB033031,KIAA1205
AB033032,PLXNB3
AB033034,DKFZp762B226
AB033035,KIAA1209
AB033036,KIAA1210
AB033037,KIAA1211
Contig31316_RC,NA
Contig24026_RC,NA
Contig27800_RC,NA
Contig14924_RC,NA
Contig35067_RC,NA
AI566771_RC,P53AIP1
Contig46860_RC,NA
Contig38841_RC,NA
AF227899,KIAA0117
AB033040,KIAA1214
AB033041,KIAA1215
AB033043,DKFZP761L0424
Contig8862_RC,NA
AB033044,KIAA1218
AB033045,KIAA1219
AB033046,KIAA1220
Contig35210_RC,ABCA6
Contig42500_RC,NA
AB033049,KIAA1223
Contig15044_RC,NA
Contig31082_RC,NA
AF024616,ZNRD1
Contig45522_RC,NA
Contig14690_RC,NA
Contig25356_RC,NA
Contig55834_RC,NA
Contig49273_RC,NA
Contig67229_RC,NA
Contig16983_RC,NA
Contig27649_RC,NA
Contig43687_RC,NA
Contig50977_RC,NA
Contig3396_RC,NA
Contig1938_RC,NA
AB033050,KIAA1224
AB033052,KIAA1226
AB033053,KIAA1227
AB033054,KIAA1228
AB033055,KIAA1229
AB033058,KIAA1232
Contig20642_RC,NA
AB033059,KIAA1233
Contig24018_RC,NA
Contig7147,NA
Contig32037_RC,NA
AF009314,NA
Contig29250_RC,NA
Contig28521_RC,NA
